rebalance_date,rank,symbol,trailing_90d_median_yahoo_dollar_volume,valid_volume_obs_90d
2021-06-01,34,IOST-USD,361782315.0,90
2021-06-01,35,MANA-USD,294520264.5,90
2021-06-01,36,XEM-USD,270145525.0,90
2021-06-01,37,MKR-USD,225100793.5,90
2021-06-01,38,ZIL-USD,206898711.0,90
2021-06-01,39,ZRX-USD,200218195.0,90
2021-06-01,40,SC-USD,191565287.0,90
2021-06-01,41,ONE3945-USD,180542073.0,90
2021-06-01,42,RVN-USD,169448782.5,90
2021-06-01,43,WAVES-USD,163195281.0,90
2021-06-01,44,CRO-USD,158232797.5,90
2021-06-01,45,ANKR-USD,143866823.0,90
2021-06-01,46,DENT-USD,133722564.5,90
2021-06-01,47,SNX-USD,130749580.5,90
2021-06-01,48,RSR-USD,126847342.0,90
2021-06-01,49,ICX-USD,122923950.5,90
2021-06-01,50,BNT-USD,121390154.0,90
2021-07-01,1,BTC-USD,52602485289.5,90
2021-07-01,2,ETH-USD,32463968484.0,90
2021-07-01,3,XRP-USD,8089976615.5,90
2021-07-01,4,DOGE-USD,5416277122.0,90
2021-07-01,5,LTC-USD,4487254182.5,90
2021-07-01,6,BNB-USD,4067969888.0,90
2021-07-01,7,ADA-USD,4027792483.5,90
2021-07-01,8,BCH-USD,3512154426.0,90
2021-07-01,9,ETC-USD,3340938565.0,90
2021-07-01,10,EOS-USD,2938695391.5,90
2021-07-01,11,TRX-USD,2528827905.5,90
2021-07-01,12,LINK-USD,1888300174.0,90
2021-07-01,13,VET-USD,1590172676.5,90
2021-07-01,14,XLM-USD,1536655671.5,90
2021-07-01,15,BSV-USD,1312959246.0,90
2021-07-01,16,FIL-USD,1286106663.0,90
2021-07-01,17,NEO-USD,1002368609.0,90
2021-07-01,18,BTT-USD,895699790.5,90
2021-07-01,19,BTTOLD-USD,895699790.5,90
2021-07-01,20,DASH-USD,873880783.0,90
2021-07-01,21,QTUM-USD,759585048.5,90
2021-07-01,22,ZEC-USD,679510140.0,90
2021-07-01,23,HT-USD,619812215.0,90
2021-07-01,24,XMR-USD,534444784.0,90
2021-07-01,25,ATOM-USD,499133452.5,90
2021-07-01,26,CHZ-USD,482863548.5,90
2021-07-01,27,OMG-USD,478657785.0,90
2021-07-01,28,ONT-USD,465014038.0,90
2021-07-01,29,OKB-USD,463303081.0,90
2021-07-01,30,THETA-USD,402967700.5,90
2021-07-01,31,BAT-USD,374736426.0,90
2021-07-01,32,HOT2682-USD,289627269.0,90
2021-07-01,33,IOST-USD,286771628.5,90
2021-07-01,34,XTZ-USD,283237712.5,90
2021-07-01,35,ALGO-USD,275593871.0,90
2021-07-01,36,ENJ-USD,244623001.0,90
2021-07-01,37,MKR-USD,234706097.5,90
2021-07-01,38,MANA-USD,191190297.5,90
2021-07-01,39,WAVES-USD,185927595.5,90
2021-07-01,40,ZIL-USD,175349026.0,90
2021-07-01,41,XEM-USD,167548065.0,90
2021-07-01,42,ZRX-USD,159586713.0,90
2021-07-01,43,SC-USD,127209292.5,90
2021-07-01,44,SNX-USD,122743991.0,90
2021-07-01,45,ONE3945-USD,106781604.0,90
2021-07-01,46,ANKR-USD,103530763.0,90
2021-07-01,47,RVN-USD,102086581.5,90
2021-07-01,48,BNT-USD,100034308.5,90
2021-07-01,49,ZEN-USD,97676122.5,90
2021-07-01,50,ICX-USD,97080669.0,90
2021-08-01,1,BTC-USD,38254807035.5,90
2021-08-01,2,ETH-USD,27028760850.5,90
2021-08-01,3,XRP-USD,3291482947.0,90
2021-08-01,4,ETC-USD,2853981194.0,90
2021-08-01,5,ADA-USD,2617718156.0,90
2021-08-01,6,DOGE-USD,2452387936.5,90
2021-08-01,7,BNB-USD,2270569430.5,90
2021-08-01,8,LTC-USD,2209308824.5,90
2021-08-01,9,BCH-USD,1915336885.5,90
2021-08-01,10,EOS-USD,1419248210.5,90
2021-08-01,11,LINK-USD,1287472214.0,90
2021-08-01,12,TRX-USD,1141491093.5,90
2021-08-01,13,VET-USD,785151773.5,90
2021-08-01,14,XLM-USD,756973820.5,90
2021-08-01,15,BSV-USD,725473810.5,90
